,day,hour,tweet_counts,date_UTC
0,10/31/2021,0 days 18:00:00,22,10/31/2021 18:00
1,10/31/2021,0 days 19:00:00,30,10/31/2021 19:00
2,10/31/2021,0 days 20:00:00,16,10/31/2021 20:00
3,10/31/2021,0 days 21:00:00,34,10/31/2021 21:00
4,10/31/2021,0 days 22:00:00,93,10/31/2021 22:00
5,10/31/2021,0 days 23:00:00,17,10/31/2021 23:00
6,10/31/2021,0 days 00:00:00,18,10/31/2021 0:00
7,11/1/2021,0 days 01:00:00,31,11/1/2021 1:00
8,11/1/2021,0 days 02:00:00,49,11/1/2021 2:00
9,11/1/2021,0 days 03:00:00,35,11/1/2021 3:00
10,11/1/2021,0 days 04:00:00,46,11/1/2021 4:00
11,11/1/2021,0 days 05:00:00,22,11/1/2021 5:00
12,11/1/2021,0 days 06:00:00,9,11/1/2021 6:00
13,11/1/2021,0 days 07:00:00,12,11/1/2021 7:00
14,11/1/2021,0 days 08:00:00,27,11/1/2021 8:00
15,11/1/2021,0 days 09:00:00,31,11/1/2021 9:00
16,11/1/2021,0 days 10:00:00,52,11/1/2021 10:00
17,11/1/2021,0 days 11:00:00,83,11/1/2021 11:00
18,11/1/2021,0 days 12:00:00,92,11/1/2021 12:00
19,11/1/2021,0 days 13:00:00,160,11/1/2021 13:00
20,11/1/2021,0 days 14:00:00,92,11/1/2021 14:00
21,11/1/2021,0 days 15:00:00,59,11/1/2021 15:00
22,11/1/2021,0 days 16:00:00,134,11/1/2021 16:00
23,11/1/2021,0 days 17:00:00,117,11/1/2021 17:00
24,11/1/2021,0 days 18:00:00,139,11/1/2021 18:00
25,11/1/2021,0 days 19:00:00,132,11/1/2021 19:00
26,11/1/2021,0 days 20:00:00,137,11/1/2021 20:00
27,11/1/2021,0 days 21:00:00,336,11/1/2021 21:00
28,11/1/2021,0 days 22:00:00,236,11/1/2021 22:00
29,11/1/2021,0 days 23:00:00,208,11/1/2021 23:00
30,11/1/2021,0 days 00:00:00,151,11/1/2021 0:00
31,11/2/2021,0 days 01:00:00,167,11/2/2021 1:00
32,11/2/2021,0 days 02:00:00,149,11/2/2021 2:00
33,11/2/2021,0 days 03:00:00,238,11/2/2021 3:00
34,11/2/2021,0 days 04:00:00,262,11/2/2021 4:00
35,11/2/2021,0 days 05:00:00,131,11/2/2021 5:00
36,11/2/2021,0 days 06:00:00,99,11/2/2021 6:00
37,11/2/2021,0 days 07:00:00,237,11/2/2021 7:00
38,11/2/2021,0 days 08:00:00,242,11/2/2021 8:00
39,11/2/2021,0 days 09:00:00,299,11/2/2021 9:00
40,11/2/2021,0 days 10:00:00,425,11/2/2021 10:00
41,11/2/2021,0 days 11:00:00,308,11/2/2021 11:00
42,11/2/2021,0 days 12:00:00,227,11/2/2021 12:00
43,11/2/2021,0 days 13:00:00,213,11/2/2021 13:00
44,11/2/2021,0 days 14:00:00,179,11/2/2021 14:00
45,11/2/2021,0 days 15:00:00,102,11/2/2021 15:00
46,11/2/2021,0 days 16:00:00,96,11/2/2021 16:00
47,11/2/2021,0 days 17:00:00,49,11/2/2021 17:00
48,11/2/2021,0 days 18:00:00,32,11/2/2021 18:00
49,11/2/2021,0 days 19:00:00,41,11/2/2021 19:00
50,11/2/2021,0 days 20:00:00,42,11/2/2021 20:00
51,11/2/2021,0 days 21:00:00,38,11/2/2021 21:00
52,11/2/2021,0 days 22:00:00,46,11/2/2021 22:00
53,11/2/2021,0 days 23:00:00,43,11/2/2021 23:00
54,11/2/2021,0 days 00:00:00,27,11/2/2021 0:00
55,11/3/2021,0 days 01:00:00,28,11/3/2021 1:00
56,11/3/2021,0 days 02:00:00,107,11/3/2021 2:00
57,11/3/2021,0 days 03:00:00,24,11/3/2021 3:00
58,11/3/2021,0 days 04:00:00,46,11/3/2021 4:00
59,11/3/2021,0 days 05:00:00,23,11/3/2021 5:00
60,11/3/2021,0 days 06:00:00,21,11/3/2021 6:00
61,11/3/2021,0 days 07:00:00,24,11/3/2021 7:00
62,11/3/2021,0 days 08:00:00,22,11/3/2021 8:00
63,11/3/2021,0 days 09:00:00,32,11/3/2021 9:00
64,11/3/2021,0 days 10:00:00,40,11/3/2021 10:00
65,11/3/2021,0 days 11:00:00,26,11/3/2021 11:00
66,11/3/2021,0 days 12:00:00,20,11/3/2021 12:00
67,11/3/2021,0 days 13:00:00,27,11/3/2021 13:00
68,11/3/2021,0 days 14:00:00,34,11/3/2021 14:00
69,11/3/2021,0 days 15:00:00,22,11/3/2021 15:00
70,11/3/2021,0 days 16:00:00,33,11/3/2021 16:00
71,11/3/2021,0 days 17:00:00,28,11/3/2021 17:00
72,11/3/2021,0 days 18:00:00,19,11/3/2021 18:00
73,11/3/2021,0 days 19:00:00,16,11/3/2021 19:00
74,11/3/2021,0 days 20:00:00,51,11/3/2021 20:00
75,11/3/2021,0 days 21:00:00,43,11/3/2021 21:00
76,11/3/2021,0 days 22:00:00,38,11/3/2021 22:00
77,11/3/2021,0 days 23:00:00,35,11/3/2021 23:00
78,11/4/2021,0 days 00:00:00,12,11/3/2021 0:00
79,11/4/2021,0 days 01:00:00,17,11/4/2021 1:00
80,11/4/2021,0 days 02:00:00,19,11/4/2021 2:00
81,11/4/2021,0 days 03:00:00,42,11/4/2021 3:00
82,11/4/2021,0 days 04:00:00,19,11/4/2021 4:00
83,11/4/2021,0 days 05:00:00,15,11/4/2021 5:00
84,11/4/2021,0 days 06:00:00,8,11/4/2021 6:00
85,11/4/2021,0 days 07:00:00,4,11/4/2021 7:00
86,11/4/2021,0 days 08:00:00,11,11/4/2021 8:00
87,11/4/2021,0 days 09:00:00,10,11/4/2021 9:00
88,11/4/2021,0 days 10:00:00,13,11/4/2021 10:00
89,11/4/2021,0 days 11:00:00,13,11/4/2021 11:00
90,11/4/2021,0 days 12:00:00,16,11/4/2021 12:00
91,11/4/2021,0 days 13:00:00,28,11/4/2021 13:00
92,11/4/2021,0 days 14:00:00,90,11/4/2021 14:00
93,11/4/2021,0 days 15:00:00,49,11/4/2021 15:00
94,11/4/2021,0 days 16:00:00,36,11/4/2021 16:00
95,11/4/2021,0 days 17:00:00,27,11/4/2021 17:00
96,11/4/2021,0 days 18:00:00,27,11/4/2021 18:00
97,11/4/2021,0 days 19:00:00,19,11/4/2021 19:00
98,11/4/2021,0 days 20:00:00,21,11/4/2021 20:00
